26819	3.754	-0.1238
26919	3.7527	-0.1242
27019	3.7515	-0.1238
27119	3.7506	-0.1238
27219	3.749	-0.1235
27319	3.7478	-0.1238
27419	3.7465	-0.1242
27519	3.7453	-0.1235
27619	3.7444	-0.1238
27719	3.7431	-0.1238
27819	3.7416	-0.1235
27919	3.7403	-0.1238
28019	3.7391	-0.1238
28119	3.7382	-0.1235
28219	3.7369	-0.1242
28319	3.7357	-0.1238
28419	3.7341	-0.1238
28519	3.7332	-0.1238
28619	3.732	-0.1242
28719	3.7307	-0.1238
28819	3.7295	-0.1242
28919	3.7282	-0.1238
29019	3.7273	-0.1238
29119	3.7258	-0.1238
29219	3.7245	-0.1238
29319	3.723	-0.1238
29419	3.722	-0.1242
29519	3.7205	-0.1238
29619	3.7189	-0.1238
29719	3.7177	-0.1238
29819	3.7165	-0.1235
29919	3.7152	-0.1238
30019	3.714	-0.1242
30119	3.7127	-0.1238
30219	3.7109	-0.1238
30319	3.7096	-0.1238
30419	3.7084	-0.1238
30519	3.7069	-0.1235
30619	3.7056	-0.1235
30719	3.7041	-0.1238
30819	3.7025	-0.1238
30919	3.7013	-0.1242
31019	3.6997	-0.1238
31119	3.6985	-0.1242
31219	3.6966	-0.1235
31319	3.6951	-0.1235
31419	3.6938	-0.1238
31519	3.6926	-0.1238
31619	3.691	-0.1238
31719	3.6895	-0.1238
31819	3.6883	-0.1235
31919	3.687	-0.1238
32019	3.6855	-0.1235
32119	3.6842	-0.1238
32219	3.683	-0.1235
32319	3.6814	-0.1238
32419	3.6799	-0.1235
32519	3.6786	-0.1238
32619	3.6777	-0.1235
32719	3.6765	-0.1242
32819	3.6752	-0.1242
32919	3.6737	-0.1238
33019	3.6728	-0.1242
33119	3.6715	-0.1238
33219	3.6706	-0.1238
33319	3.6697	-0.1235
33419	3.6687	-0.1242
33519	3.6672	-0.1238
33619	3.6666	-0.1238
33719	3.6656	-0.1235
33819	3.6647	-0.1235
33919	3.6638	-0.1235
34019	3.6628	-0.1238
34119	3.6622	-0.1242
34219	3.6616	-0.1238
34319	3.6607	-0.1238
34419	3.6594	-0.1242
34519	3.6588	-0.1242
34619	3.6579	-0.1242
34719	3.6569	-0.1238
34819	3.6563	-0.1238
34919	3.6557	-0.1238
35019	3.6551	-0.1238
35119	3.6545	-0.1238
35219	3.6535	-0.1235
35319	3.6529	-0.1238
35419	3.652	-0.1242
35519	3.6514	-0.1238
35619	3.6507	-0.1235
35719	3.6501	-0.1238
35819	3.6495	-0.1238
35919	3.6489	-0.1238
36019	3.6483	-0.1235
36119	3.6476	-0.1238
36219	3.647	-0.1235
36319	3.6464	-0.1238
36419	3.6458	-0.1238
36519	3.6449	-0.1242
36619	3.6445	-0.1242
36719	3.6439	-0.1235
36819	3.6433	-0.1238
36919	3.6427	-0.1238
37019	3.6421	-0.1238
37119	3.6414	-0.1238
37219	3.6411	-0.1235
37319	3.6405	-0.1231
37419	3.6399	-0.1235
37519	3.6393	-0.1238
37619	3.6387	-0.1238
37719	3.6383	-0.1238
37819	3.6374	-0.1238
37919	3.6371	-0.1238
38019	3.6365	-0.1235
38119	3.6362	-0.1238
38219	3.6356	-0.1235
38319	3.6349	-0.1235
38419	3.6346	-0.1242
38519	3.634	-0.1238
38619	3.6334	-0.1238
38719	3.6331	-0.1235
38819	3.6328	-0.1235
38919	3.6321	-0.1242
39019	3.6315	-0.1242
39119	3.6312	-0.1238
39219	3.6306	-0.1238
39319	3.63	-0.1235
39419	3.6294	-0.1238
39519	3.629	-0.1238
39619	3.6284	-0.1235
39719	3.6281	-0.1238
39819	3.6278	-0.1242
39919	3.6272	-0.1238
40019	3.6266	-0.1235
40119	3.6263	-0.1235
40219	3.6256	-0.1238
40319	3.6253	-0.1238
40419	3.625	-0.1238
40519	3.6247	-0.1238
40619	3.6241	-0.1238
40719	3.6238	-0.1238
40819	3.6232	-0.1238
40919	3.6225	-0.1242
41019	3.6219	-0.1238
41119	3.6216	-0.1242
41219	3.6213	-0.1238
41319	3.6207	-0.1235
41419	3.6204	-0.1238
41519	3.6201	-0.1242
41619	3.6194	-0.1238
41719	3.6191	-0.1238
41819	3.6188	-0.1238
41919	3.6182	-0.1238
42019	3.6179	-0.1238
42119	3.6173	-0.1238
42219	3.617	-0.1235
42319	3.6166	-0.1238
42419	3.6163	-0.1238
42519	3.6157	-0.1242
42619	3.6151	-0.1238
42719	3.6148	-0.1238
42819	3.6142	-0.1242
42919	3.6139	-0.1242
43019	3.6135	-0.1238
43119	3.6129	-0.1238
43219	3.6126	-0.1238
43319	3.6123	-0.1235
43419	3.612	-0.1238
43519	3.6114	-0.1238
